,_phi,_phi_err,_velo_eff,_velo_eff_err,_frac_optflow_ok,_frac_optflow_ok_ica
2018-03-26 14:44:16,-0.019909462197983303,0.0,-0.014408502387039474,0.002161275358055921,,
2018-03-26 14:44:24,0.0,0.0,,0.0,,
2018-03-26 14:44:32,0.0,0.0,,0.0,,
2018-03-26 14:44:40,0.029212903305234274,0.0,0.13083734233492356,0.019625601350238532,,
2018-03-26 14:44:48,0.0,0.0,,0.0,,
2018-03-26 14:44:56,0.0,0.0,,0.0,,
2018-03-26 14:45:04,0.0,0.0,,0.0,,
2018-03-26 14:45:12,0.0,0.0,,0.0,,
2018-03-26 14:45:20,0.0,0.0,,0.0,,
2018-03-26 14:45:28,0.0,0.0,,0.0,,
2018-03-26 14:45:36,0.0,0.0,,0.0,,
2018-03-26 14:45:44,0.0,0.0,,0.0,,
2018-03-26 14:45:52,0.0,0.0,,0.0,,
2018-03-26 14:46:00,0.07285129986699287,0.0,0.3196122928502957,0.04794184392754435,,
2018-03-26 14:46:08,0.0,0.0,,0.0,,
2018-03-26 14:46:16,0.11480341313139035,0.0,0.481710184989847,0.07225652774847705,,
2018-03-26 14:46:24,0.0,0.0,,0.0,,
2018-03-26 14:46:32,0.0,0.0,,0.0,,
2018-03-26 14:46:40,0.0,0.0,,0.0,,
2018-03-26 14:46:48,0.0,0.0,,0.0,,
2018-03-26 14:46:56,0.0,0.0,,0.0,,
2018-03-26 14:47:04,0.0,0.0,,0.0,,
2018-03-26 14:47:12,0.0,0.0,,0.0,,
2018-03-26 14:47:20,0.0,0.0,,0.0,,
2018-03-26 14:47:24,0.0,0.0,,0.0,,
2018-03-26 14:47:32,0.0,0.0,,0.0,,
2018-03-26 14:47:40,0.0,0.0,,0.0,,
2018-03-26 14:47:48,0.0,0.0,,0.0,,
2018-03-26 14:47:56,0.0,0.0,,0.0,,
2018-03-26 14:48:04,0.0,0.0,,0.0,,
2018-03-26 14:48:12,0.0,0.0,,0.0,,
2018-03-26 14:48:20,0.0,0.0,,0.0,,
2018-03-26 14:48:28,0.0,0.0,,0.0,,
2018-03-26 14:48:36,0.0,0.0,,0.0,,
2018-03-26 14:48:44,0.0,0.0,,0.0,,
2018-03-26 14:49:08,0.0,0.0,,0.0,,
2018-03-26 14:49:16,0.0,0.0,,0.0,,
2018-03-26 14:49:24,0.0,0.0,,0.0,,
2018-03-26 14:49:32,0.0,0.0,,0.0,,
2018-03-26 14:50:12,3338.3413277666887,0.0,2.0061147993998047,0.4366803880188244,,
2018-03-26 14:51:36,2207.899408327852,0.0,1.9892968172338985,0.4220059894533743,,
2018-03-26 14:51:44,2002.9496706325817,0.0,1.9281132802204284,0.4092299297204865,,
2018-03-26 14:51:52,1919.9450981504674,0.0,1.5357638916025613,0.32581058562285525,,
2018-03-26 14:52:00,2407.6183774319293,0.0,1.9267679913081306,0.4088490557339327,,
2018-03-26 14:52:08,2562.9717940906844,0.0,1.9682385422801927,0.4196096785143861,,
2018-03-26 14:52:16,2873.8310516716438,0.0,1.9186159063089128,0.4080907445750206,,
2018-03-26 14:52:24,2336.0003412968736,0.0,1.5408261383084187,0.32691366323983106,,
2018-03-26 14:52:32,2906.5523509701507,0.0,1.960329050745374,0.4160185538238471,,
2018-03-26 14:52:40,2478.2856974720185,0.0,2.0364643691714273,0.4326313797685705,,
2018-03-26 14:52:48,2695.9361812051284,0.0,2.072014873906409,0.4415393160358003,,
2018-03-26 14:52:56,2509.158739851953,0.0,1.7782618597384856,0.3805333493845983,,
2018-03-26 14:53:04,2810.860477772,0.0,2.3461520543936456,0.4979031487267609,,
2018-03-26 14:53:12,2955.7867401595877,0.0,2.23750774636542,0.4753427820430055,,
2018-03-26 14:53:48,3228.897768256068,0.0,2.5130331991673964,0.5388685344262192,,
2018-03-26 14:53:56,3072.7270050129255,0.0,1.8942359378638032,0.4072269810243446,,
2018-03-26 14:54:12,4024.5022549739497,0.0,2.3979634701280803,0.5128228335968239,,
2018-03-26 14:54:16,2493.6702813131096,0.0,1.777271750523116,0.3806240079641209,,
2018-03-26 14:54:24,2817.1392296114504,0.0,2.2485182189305983,0.48640149487404205,,
2018-03-26 14:54:32,-762.3441512840498,0.0,-0.29727398336303246,0.06968643242988824,,
