,_phi,_phi_err,_velo_eff,_velo_eff_err,_frac_optflow_ok,_frac_optflow_ok_ica
2018-03-26 14:44:16,0.0,0.0,,,,
2018-03-26 14:44:24,0.0,0.0,,,,
2018-03-26 14:44:32,0.0,0.0,,,,
2018-03-26 14:44:40,0.029212903305234274,,0.13083734233492356,0.019625601350238532,,
2018-03-26 14:44:48,0.0,0.0,,,,
2018-03-26 14:44:56,0.0,0.0,,,,
2018-03-26 14:45:04,0.0,0.0,,,,
2018-03-26 14:45:12,0.0,0.0,,,,
2018-03-26 14:45:20,0.0,0.0,,,,
2018-03-26 14:45:28,0.0,0.0,,,,
2018-03-26 14:45:36,0.0,0.0,,,,
2018-03-26 14:45:44,0.0,0.0,,,,
2018-03-26 14:45:52,0.0,0.0,,,,
2018-03-26 14:46:00,0.0,0.0,,,,
2018-03-26 14:46:08,0.0,0.0,,,,
2018-03-26 14:46:16,0.0,0.0,,,,
2018-03-26 14:46:24,0.0,0.0,,,,
2018-03-26 14:46:32,0.0,0.0,,,,
2018-03-26 14:46:40,0.0,0.0,,,,
2018-03-26 14:46:48,0.0,0.0,,,,
2018-03-26 14:46:56,0.0,0.0,,,,
2018-03-26 14:47:04,0.0,0.0,,,,
2018-03-26 14:47:12,0.0,0.0,,,,
2018-03-26 14:47:20,0.0,0.0,,,,
2018-03-26 14:47:24,0.0,0.0,,,,
2018-03-26 14:47:32,0.0,0.0,,,,
2018-03-26 14:47:40,0.0,0.0,,,,
2018-03-26 14:47:48,0.0,0.0,,,,
2018-03-26 14:47:56,0.0,0.0,,,,
2018-03-26 14:48:04,0.0,0.0,,,,
2018-03-26 14:48:12,0.0,0.0,,,,
2018-03-26 14:48:20,0.0,0.0,,,,
2018-03-26 14:48:28,0.0,0.0,,,,
2018-03-26 14:48:36,0.0,0.0,,,,
2018-03-26 14:48:44,0.0,0.0,,,,
2018-03-26 14:49:08,0.0,0.0,,,,
2018-03-26 14:49:16,0.0,0.0,,,,
2018-03-26 14:49:24,0.0,0.0,,,,
2018-03-26 14:49:32,0.0,0.0,,,,
2018-03-26 14:50:12,2247.7204661928904,,2.467692162689829,0.3701538244034744,,
2018-03-26 14:51:36,745.8021009361005,,2.004552356818012,0.3006828535227018,,
2018-03-26 14:51:44,755.6357758410415,,1.9906873994226808,0.2986031099134021,,
2018-03-26 14:51:52,679.3565063449959,,1.5551172261684745,0.23326758392527117,,
2018-03-26 14:52:00,914.9695939887739,,1.8801060344748919,0.28201590517123376,,
2018-03-26 14:52:08,1279.4088407013528,,2.165099978810213,0.3247649968215319,,
2018-03-26 14:52:16,1463.134010663734,,2.059181509057558,0.3088772263586337,,
2018-03-26 14:52:24,1204.9447653634243,,1.5691142318524987,0.2353671347778748,,
2018-03-26 14:52:32,1466.5640817295864,,2.0163821410266385,0.30245732115399576,,
2018-03-26 14:52:40,1178.7934457031042,,1.9262635373796497,0.28893953060694744,,
2018-03-26 14:52:48,1245.3941298878894,,1.8741982411184939,0.2811297361677741,,
2018-03-26 14:52:56,1087.0147901588314,,1.542279557537909,0.23134193363068634,,
2018-03-26 14:53:04,1185.78033744077,,2.2781292302952543,0.34171938454428813,,
2018-03-26 14:53:12,1329.737836458039,,2.1163174219122802,0.317447613286842,,
2018-03-26 14:53:48,1628.5577675768045,,2.883893570896973,0.4325840356345459,,
2018-03-26 14:53:56,1783.1448150223566,,2.2057902349306806,0.3308685352396021,,
2018-03-26 14:54:12,2281.91709598217,,2.7044475634323377,0.40566713451485065,,
2018-03-26 14:54:16,1482.253133252681,,2.023729592504419,0.3035594388756629,,
2018-03-26 14:54:24,1795.9971793624309,,2.6975635291134705,0.40463452936702055,,
2018-03-26 14:54:32,-346.48034110370736,,-0.15747516668533681,-0.02362127500280052,,
